1,main restaurant,between albert college and the henry grattan building,1,07:30,17:00,500,0
2,1838,albert college,1,09:30,15:00,100,1
3,helix cafe,in helix foyer,1,08:30,17:00,100,0
4,zest,gym foyer,1,08:30,14:00,40,0
5,fig tree cafe,nursing building,1,8:30,16:30,120,0
6,invent,invent foyer,1,09:00,14:00,35,0
7,library,library basement,1,09:30,20:00,120,0
8,dcubs cafe,second floor of business school,1,08:00,19:00,135,0
9,nubar restaurant,beside gym,1,10:00,21:00,100,0
10,osmosis cafe,dcu alpha foyer,3,08:30,16:30,50,0
11,java cafe,d block,2,09:00,17:00,100,0
12,canteen,b block,2,09:00,16:00,300,0
